brand,count,avg_price,min_price,max_price,dep_rate_pct,brand_tier
maruti,9712,473043.0,54430,5500000,83.8,Budget
hyundai,7293,553505.0,55000,3600000,91.6,Mid
honda,3804,556266.0,60000,9750000,87.0,Mid
mahindra,2057,886612.0,120000,3344000,89.9,Mid
tata,1985,754349.0,51295,2600000,95.2,Mid
renault,1159,490715.0,110000,1300000,63.2,Mid
ford,1150,607970.0,56000,7500000,87.7,Mid
toyota,1086,1238870.0,75000,10700000,93.8,Premium
volkswagen,1023,544550.0,130000,2575000,32.8,Premium
skoda,975,831533.0,95000,3500000,35.3,Premium
mercedes-benz,905,3011151.0,200000,28300000,96.9,Luxury
chevrolet,828,188964.0,50343,1100000,48.5,Budget
bmw,763,2714971.0,210000,15000000,85.1,Luxury
kia,728,1419301.0,650929,3600000,0.6,Premium
audi,655,2061668.0,400000,11500000,73.0,Luxury
nissan,630,453975.0,70000,1600001,84.0,Mid
mg,423,1780387.0,850000,4300000,21.4,Premium
jeep,362,1690038.0,850000,7990000,16.3,Premium
datsun,355,283090.0,130000,600000,57.3,Budget
fiat,244,237556.0,55000,764000,88.2,Budget
land rover,129,4150941.0,750000,19000000,80.7,Luxury
volvo,127,2572487.0,799999,10000000,90.0,Premium
jaguar,114,3040002.0,1120000,9000000,69.9,Luxury
mitsubishi,80,860807.0,80000,2000000,95.9,Mid
mahindra ssangyong,47,673717.0,280000,1275000,42.3,Mid
isuzu,29,1356567.0,576656,2050000,47.5,Mid
mini,29,2691443.0,1227844,5400000,65.0,Premium
porsche,27,4393941.0,1618293,9500000,78.5,Luxury
mahindra renault,22,119170.0,65000,200000,21.4,Mid
force,11,570352.0,227168,1570000,77.7,Budget
lexus,8,6861681.0,4293446,18500000,0.0,Premium
citroen,7,2707006.0,588000,3667000,0.0,Mid
bentley,3,8916667.0,6750000,12000000,43.8,Luxury
bajaj,3,251667.0,200000,280000,15.2,Budget
hindustan motors,3,184084.0,100000,250000,0.0,Budget
icml,3,300000.0,150000,400000,62.5,Budget
lamborghini,2,26250000.0,22500000,29999999,25.0,Luxury
ferrari,2,38497784.0,32570569,44425000,26.7,Luxury
