brand,model,variant,vehicle_age,fuel_type,transmission,odometer_reading,fuel_efficiency,owner_count,engine_cc,city,km_per_year,ownership_trust_score,vehicle_health_score,selling_price,price_segment
mahindra,mahindra scorpio,s10 7 seater,12,diesel,manual,94375.0,0.0,1,0.0,noida,7864.583333333333,100,54.5625,710000,mid
hyundai,hyundai santro xing,gl plus,15,petrol,manual,33003.0,0.0,1,0.0,pune,2200.2,100,51.6997,185047,budget
maruti,maruti swift,vxi,11,petrol,manual,96344.0,0.0,1,0.0,jaipur,8758.545454545454,100,57.3656,465000,budget
renault,renault duster,85ps diesel rxe adventure,11,diesel,manual,70000.0,0.0,2,0.0,indore,6363.636363636364,75,52.0,475000,budget
mercedes-benz,mercedes-benz e-class,expression e 220 d bsiv,9,diesel,automatic,24000.0,0.0,1,0.0,new delhi,2666.6666666666665,100,70.6,3975000,premium
mahindra,mahindra scorpio,1.99 s4,10,diesel,manual,44647.0,0.0,1,0.0,gurgaon,4464.7,100,65.5353,800000,mid
mahindra,mahindra thar,di 4x4 ps,10,diesel,manual,49000.0,0.0,1,0.0,vadodara,4900.0,100,65.1,750000,mid
mercedes-benz,mercedes-benz cla,200 cdi sport,9,diesel,automatic,51090.0,0.0,1,0.0,kolkata,5676.666666666667,100,67.891,1600000,premium
tata,tata manza,club class quadrajet90 lx,14,diesel,manual,120000.0,0.0,3,0.0,bhopal,8571.42857142857,55,30.0,175000,budget
maruti,maruti swift,lxi,10,petrol,manual,83532.0,0.0,1,0.0,chennai,8353.2,100,61.6468,530000,mid
datsun,datsun redigo,t option,8,petrol,manual,33412.0,0.0,1,0.0,noida,4176.5,100,72.6588,237870,budget
tata,tata manza,aura (abs) safire bs iv,15,petrol,manual,125046.0,0.0,1,0.0,pune,8336.4,100,42.495400000000004,160000,budget
maruti,maruti wagon r,lxi cng,9,cng,manual,60767.0,0.0,2,0.0,pune,6751.888888888889,75,58.9233,455000,budget
mercedes-benz,mercedes-benz c-class,c300 cabriolet,7,petrol,automatic,34000.0,0.0,1,0.0,gurgaon,4857.142857142857,100,75.6,5980000,premium
maruti,maruti ciaz,1.3 zeta,9,diesel,manual,37824.0,0.0,1,0.0,gurgaon,4202.666666666667,100,69.2176,600000,mid
hyundai,hyundai grand i10,1.2 kappa magna bsiv,9,petrol,manual,65646.0,0.0,2,0.0,surat,7294.0,75,58.4354,450000,budget
maruti,maruti wagon r,vxi minor,17,petrol,manual,32351.0,0.0,1,0.0,pune,1903.0,100,45.7649,140000,budget
maruti,maruti baleno,delta,4,petrol,manual,14544.0,0.0,1,0.0,pune,3636.0,100,86.5456,850000,mid
nissan,nissan micra,xl optional,11,petrol,manual,42615.0,0.0,1,0.0,chennai,3874.090909090909,100,62.7385,425000,budget
hyundai,hyundai grand i10,sportz,11,petrol,manual,21919.0,0.0,1,0.0,bangalore,1992.6363636363637,100,64.8081,500000,budget
volkswagen,volkswagen vento,diesel comfortline,13,diesel,manual,108032.0,0.0,1,0.0,pune,8310.153846153846,100,50.196799999999996,300000,budget
